#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","56B68BDDD02C899AC216720F2D09ABC5E90B0268F608913BD1A06DFA21ADC8C0","D:\FT-TVIAAS\OutputToCSV.ps1"
"SHA256","6C33F09232789D4F626C05687430766E6ECD3A623D57BB0A1217ABCA4164C875","D:\FT-TVIAAS\PowerShell_050721.txt"
"SHA256","210989B9A8C546E6B28A38B6665CB24587BEDEE558641B813D65FAF877F1E86D","D:\FT-TVIAAS\11-HashComparisonTool.ps1"
"SHA256","82F31C5075967D9BA46EFDDB012ABA5C0B0E865F5E2E82AE33B5D332EDE6E594","D:\FT-TVIAAS\hash.csv"
"SHA256","FD3DEA849D2C6F3AC9760AF1FD2B9E849B850A1142DB0E4FA3E48F1A56F19AF6","D:\FT-TVIAAS\hash2.csv"
"SHA256","DA0206A13A611BF8E2E7FC42C0AB661B94C7671801C05E783ADD18DC00CF2383","D:\FT-TVIAAS\W2K16-BVT\01-W2K16-BVT.json"
"SHA256","E2F92E5B3CE17BA14C4D48117E48B5795046AC0FBDF215664A88FF3BC8F101BB","D:\FT-TVIAAS\W2K16-BVT\01-W2K16-BVT.tests.ps1"
"SHA256","CA8122D4DA5EF4F627D251F8F2250F3DA612452E3E907C31C12ADFCE3522D348","D:\FT-TVIAAS\W2K16-GEN-SIT\02-W2K16-Gen-SIT.json"
"SHA256","8B7DBBD0F28AEA95993D4A601F5A66C857F131E5981C9CDDB2AA4D13B3A963F1","D:\FT-TVIAAS\W2K16-GEN-SIT\02-W2K16-Gen-SIT.Tests.ps1"
"SHA256","789F0E4C436B2A936D524B8A030E1ECCAB370F2DAB967D120EB25FC595BE9891","D:\FT-TVIAAS\W2K16-ST\W2K16-ST.json"
"SHA256","A2038F4224CCB99E44DB0BA899148CE4AF7ACE4809F5767ECF69F97AB8AE8057","D:\FT-TVIAAS\W2K16-ST\W2K16-ST.tests.ps1"
"SHA256","45D43583049A6684B1D97DE9674B89C3A1A065A8DE0D03FFD5B53214EB3C71F9","D:\FT-TVIAAS\W2K19-BVT\01-W2K19-BVT.json"
"SHA256","E2F92E5B3CE17BA14C4D48117E48B5795046AC0FBDF215664A88FF3BC8F101BB","D:\FT-TVIAAS\W2K19-BVT\01-W2K19-BVT.tests.ps1"
"SHA256","2A48E665CBEB709B39A529438AA8D245631E786128DE899DF6F71A9E34E9FB25","D:\FT-TVIAAS\W2K19-GEN-SIT\02-W2K19-Gen.SIT.Tests.ps1"
"SHA256","DDDE45FB27BE541A3ABEDF730F272393E79B977B71A7A1BE87D0CD29D31B4F98","D:\FT-TVIAAS\W2K19-GEN-SIT\02-W2K19-Gen-SIT.json"
"SHA256","A2038F4224CCB99E44DB0BA899148CE4AF7ACE4809F5767ECF69F97AB8AE8057","D:\FT-TVIAAS\W2K19-ST\03-W2K19-ST.tests.ps1"
"SHA256","A1FF2872A3614F507A6A24DB93BA6F6C3763BAE2855BB7533F6519F97EA5D4BE","D:\FT-TVIAAS\W2K19-ST\03-W2K19-ST.json"
"SHA256","8F533DE39CB9D048C0016066B95938B72AFCEF85DACCAF68EF0417400CA23CAA","D:\FT-TVIAAS\WSUS-SIT\04-WSUS_SIT.Tests.ps1"
"SHA256","44139542DFD3FA03E1099FBAB7B7FFB075546D1ABD5BCFB4D6142F12D49F3895","D:\FT-TVIAAS\WSUS-SIT\04-WSUS_SIT.json"
"SHA256","394DAD14817EF6DC6E182D0B2066876446C262E83F6146CD1DBA83C14F933383","D:\FT-TVIAAS\WTS-SIT\05-WTS-W2K16-SIT.json"
"SHA256","1553855AFA7453765F4B62722D81D73A02DC742ACB6B06ED79CB21BCCE3C7401","D:\FT-TVIAAS\WTS-SIT\05-WTS-SIT.Tests.ps1"
"SHA256","DDF83EC4AAA50D059936C62D39721668D130F85D114EC0841D2A4B1F919E2F1C","D:\FT-TVIAAS\WTS-SIT\05-WTS-W2K19-SIT.json"
"SHA256","7C2F60E0D563773F68CB000A13A814C956511F44E07EDA451F92BE0538CDDDB0","D:\FT-TVIAAS\GPO-Comb\06-GPO-Comb.tests.ps1"
"SHA256","CA8BF19C4830EE3B2FD1EBE1349ED0A894457E9B3C20A8EA76523F88E071C208","D:\FT-TVIAAS\GPO-Comb\06-GPO-Comb.json"
"SHA256","FCED6E7880F986C877F0987D0037E6C1A6544EE79229A8EDBDFA803557A24FF0","D:\FT-TVIAAS\GPO-SIT\06-GPO-SIT.tests.ps1"
"SHA256","B6A37139D795C696B0EA0AE1004B1DF3DB22BD8EEDBE925FAEEF35FF8E6E43B8","D:\FT-TVIAAS\GPO-SIT\06-GPO-SIT.json"
"SHA256","53AABF9376E2F041750F200C99FD3234F239E1217FF3CC141800DD55AA88AF04","D:\FT-TVIAAS\CA-Client-SIT\07-CA_Client_SIT.Tests.ps1"
"SHA256","AE5DB316391602692232A02C016CAA68288D230AA7A50350AFE549A162BCDEBD","D:\FT-TVIAAS\CA-Client-SIT\07-CA_Client_SIT.json"
"SHA256","79D4215761BA143FBE07CC38FCAC3D8B7A95AB0D1A4011E4D44068F5D56960DB","D:\FT-TVIAAS\CA-Server-SIT\07-CA-Server_SIT.Tests.ps1"
"SHA256","9CA43A158E276E20F6E7E1D21B6ACF42EFAAD4122FF263D3DE4F060CE23096ED","D:\FT-TVIAAS\CA-Server-SIT\07-CA-Server-SIT.json"
"SHA256","33564E404814ECB32806DDAA3E7FCC10D428B01C59B2962CE494396FC010946E","D:\FT-TVIAAS\DHCP-SIT\08-DHCP-SIT.tests.ps1"
"SHA256","278799D63B734612B05AC64E30B1968AB7C3B75F20D9364B81E54D616F5F808F","D:\FT-TVIAAS\DHCP-SIT\08-DHCP-SIT.json"
"SHA256","B2496A6B3DA4FF92EA9DEAAD19BD678EF1389243EDBD4BA72988E3FAE58D47EA","D:\FT-TVIAAS\ADDS\09-ADDS_SIT.Tests.ps1"
"SHA256","07DCAC8C8B1F2CCD6AFE6DE1A1FF999A500C49A9C89EDAEB9D11BCEE0F92C0F6","D:\FT-TVIAAS\ADDS\09-W2K16-ADDS-SIT.json"
