#TYPE Microsoft.Powershell.Utility.FileHash
"Algorithm","Hash","Path"
"SHA256","2A48E665CBEB709B39A529438AA8D245631E786128DE899DF6F71A9E34E9FB25","D:\ForUpload\03-W2K19-Gen.SIT.Tests.ps1"
"SHA256","8B7DBBD0F28AEA95993D4A601F5A66C857F131E5981C9CDDB2AA4D13B3A963F1","D:\ForUpload\03-W2K16-Gen-SIT.Tests.ps1"
"SHA256","CA8122D4DA5EF4F627D251F8F2250F3DA612452E3E907C31C12ADFCE3522D348","D:\ForUpload\03-W2K16-Gen-SIT.json"
"SHA256","A2038F4224CCB99E44DB0BA899148CE4AF7ACE4809F5767ECF69F97AB8AE8057","D:\ForUpload\02-W2K19-ST.tests.ps1"
"SHA256","A1FF2872A3614F507A6A24DB93BA6F6C3763BAE2855BB7533F6519F97EA5D4BE","D:\ForUpload\02-W2K19-ST.json"
"SHA256","A2038F4224CCB99E44DB0BA899148CE4AF7ACE4809F5767ECF69F97AB8AE8057","D:\ForUpload\02.W2K16-ST.tests.ps1"
"SHA256","789F0E4C436B2A936D524B8A030E1ECCAB370F2DAB967D120EB25FC595BE9891","D:\ForUpload\02.W2K16-ST.json"
"SHA256","E2F92E5B3CE17BA14C4D48117E48B5795046AC0FBDF215664A88FF3BC8F101BB","D:\ForUpload\01-W2K19-BVT.tests.ps1"
"SHA256","45D43583049A6684B1D97DE9674B89C3A1A065A8DE0D03FFD5B53214EB3C71F9","D:\ForUpload\01-W2K19-BVT.json"
"SHA256","E2F92E5B3CE17BA14C4D48117E48B5795046AC0FBDF215664A88FF3BC8F101BB","D:\ForUpload\01-W2K16-BVT.tests.ps1"
"SHA256","DA0206A13A611BF8E2E7FC42C0AB661B94C7671801C05E783ADD18DC00CF2383","D:\ForUpload\01-W2K16-BVT.json"
"SHA256","6C33F09232789D4F626C05687430766E6ECD3A623D57BB0A1217ABCA4164C875","D:\ForUpload\11-PowerShell_050721.txt"
"SHA256","56B68BDDD02C899AC216720F2D09ABC5E90B0268F608913BD1A06DFA21ADC8C0","D:\ForUpload\11-OutputToCSV.ps1"
"SHA256","2E9D8621110570C28250760DD81A735C756786DABC745B50AB34BA5021E6E5F9","D:\ForUpload\11-HashComparisonTool.ps1"
"SHA256","D4E39FAC26ED4930257A12C4CDEE6EC750175F2CC216534935069CA50A13A42D","D:\ForUpload\11-060721_Hashes.txt"
"SHA256","75B1CAB6AE8136DB7F045CF78E47E01AA8F1650E3C4269A6735AA8B1F7504D37","D:\ForUpload\11-060721_Hashes.csv"
"SHA256","D01EC4C017CEE48281585731C512AD89A6E39655E65DE5904B6A71748A2ED4D3","D:\ForUpload\10-DNS-SIT.tests.ps1"
"SHA256","AE96CA88D5B327499347C0CA8B7A918DBA4D6FF8770A5BD37DB3A72E757FD4AA","D:\ForUpload\10-DNS-SIT.json"
"SHA256","96F8C5937432926407A16B1C99ABD79D5A0C3269C77CAFA55EE865B438FBE46E","D:\ForUpload\09-W2K19-DomainJoined.json"
"SHA256","110FC4A98B47831EEB28DC5CAAA36A14ABD7713968F3BE58C2E6DBB441E36D7B","D:\ForUpload\09-W2K19-ADDS-SIT.json"
"SHA256","3998192013E95DA8220483F9B3C613F28E7B8BB6954724E353B2587F3939194D","D:\ForUpload\09-W2K16-DomainJoined.json"
"SHA256","07DCAC8C8B1F2CCD6AFE6DE1A1FF999A500C49A9C89EDAEB9D11BCEE0F92C0F6","D:\ForUpload\09-W2K16-ADDS-SIT.json"
"SHA256","882E8CBCD505B85ADC19688ADD4E79C0B23DC8F3D5047688AF1271AFE37589D5","D:\ForUpload\09-DomainJoined.tests.ps1"
"SHA256","B2496A6B3DA4FF92EA9DEAAD19BD678EF1389243EDBD4BA72988E3FAE58D47EA","D:\ForUpload\09-ADDS_SIT.Tests.ps1"
"SHA256","33564E404814ECB32806DDAA3E7FCC10D428B01C59B2962CE494396FC010946E","D:\ForUpload\08-DHCP-SIT.tests.ps1"
"SHA256","278799D63B734612B05AC64E30B1968AB7C3B75F20D9364B81E54D616F5F808F","D:\ForUpload\08-DHCP-SIT.json"
"SHA256","9CA43A158E276E20F6E7E1D21B6ACF42EFAAD4122FF263D3DE4F060CE23096ED","D:\ForUpload\07-CA-Server-SIT.json"
