"Name"	"Company"	"Description"
"Agent"	"Blizzard Entertainment"	"Blizzard Update Agent"
"ApplePhotoStreams"	"Apple Inc."	"iCloud Photo Stream"
"ApplicationFrameHost"	"Microsoft Corporation"	"Application Frame Host"
"AppVShNotify"		
"APSDaemon"	"Apple Inc."	"Apple Push"
"audiodg"		
"Battle.net"	"Blizzard Entertainment"	"Blizzard Battle.net App"
"Battle.net"	"Blizzard Entertainment"	"Blizzard Battle.net App"
"Battle.net"	"Blizzard Entertainment"	"Blizzard Battle.net App"
"Battle.net"	"Blizzard Entertainment"	"Blizzard Battle.net App"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"chrome"	"Google LLC"	"Google Chrome"
"commsapps"	""	""
"conhost"	"Microsoft Corporation"	"Console Window Host"
"Cortana"	"Microsoft Corporation"	"Cortana"
"csrss"		
"csrss"		
"ctfmon"		
"dasHost"		
"dasHost"		
"dllhost"		
"dllhost"	"Microsoft Corporation"	"COM Surrogate"
"dllhost"	"Microsoft Corporation"	"COM Surrogate"
"dwm"		
"EXCEL"		
"EXCEL"	"Microsoft Corporation"	"Microsoft Excel"
"explorer"	"Microsoft Corporation"	"Windows Explorer"
"FileCoAuth"	"Microsoft Corporation"	"Microsoft OneDriveFile Co-Authoring Executable"
"fontdrvhost"		
"fontdrvhost"		
"GoogleCrashHandler"		
"GoogleCrashHandler64"		
"HxTsr"	"Microsoft Corporation"	"Microsoft Outlook Communications"
"iCloudDrive"	"Apple Inc."	"iCloud Drive"
"iCloudIE"	"Apple Inc."	"iCloud IE Bookmarks"
"iCloudPhotos"	"Apple Inc."	"iCloud Photo Library"
"iCloudServices"	"Apple Inc."	"iCloud for Windows"
"Idle"		
"LockApp"	"Microsoft Corporation"	"LockApp.exe"
"lsass"		
"Maps"	""	"Maps"
"Memory Compression"		
"Microsoft.Photos"	"Microsoft Corporation"	"Microsoft.Photos.exe"
"MicrosoftEdgeUpdate"		
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
"msedge"	"Microsoft Corporation"	"Microsoft Edge"
